metric_group,metric,primary_source,endpoint_or_tool,fallback_source,freshness,historical_depth,pagination,natural_key,timezone,deprecated,tested,notes
finance,справочник типов начислений,Seller API,POST /v1/finance/accrual/types,—,редко,—,—,id,—,no,yes,124 типа
finance,"взаиморасчёты, комиссия, услуги, возвраты",Seller API,POST /v1/finance/cash-flow-statement/list,POST /v1/finance/mutual-settlement,1/неделю,не проверена,page + page_size,"период (begin, end)",UTC,no,yes,page_count=1 за август
finance,отчёт о реализации,Seller API,POST /v2/finance/realization,POST /v1/report/realization/posting/create,1/месяц,по месяцам,—,month + year + rowNumber,—,no,yes,"66 строк за июль. commission_ratio, seller_price_per_instance"
finance,начисления (старый метод),—,POST /v3/finance/transaction/list,—,—,—,page,operation_id,UTC,DEPRECATED_DO_NOT_BUILD_ON,yes,ОТКЛЮЧЕНИЕ 8 сентября 2026. Не строить систему на нём
finance,реализация по дням,НЕДОСТУПНО,POST /v1/finance/realization/by-day,—,—,—,—,—,—,no,yes,HTTP 403: Data is available only with a Premium plus subscription
orders,"заказы FBO, отмены, финданные",Seller API,POST /v3/posting/fbo/list,—,1/сутки,не проверена,cursor + has_next,posting_number,UTC,no,yes,"ЗАМЕНА для /v2/posting/fbo/list, который отключается 31 августа 2026"
returns,возвраты,Seller API,POST /v1/returns/list,—,1/сутки,не проверена,last_id + has_next,id,—,no,yes,5 записей. Поле company_id = наш Client-Id
sales,"ordered_units, revenue по SKU",Seller API,POST /v1/analytics/data,—,1/сутки,"3 месяца (граница подтверждена: 2026-06-01 да, 2026-05-25 нет)",limit + offset,sku + период,UTC (result.timestamp),no,yes,За пределами окна отдаёт вводящую в заблуждение ошибку date_to must be greater than date_from
funnel,"показы, в корзину, конверсии",НЕДОСТУПНО ЧЕРЕЗ API,POST /v1/analytics/data,Кабинет: Аналитика → Воронка продаж,—,—,—,—,—,—,yes,HTTP 400 deprecated metrics used. Вороночные метрики выведены из /v1/analytics/data
search_queries,поисковые запросы по товару,НЕ РАБОТАЕТ БЕЗ ПОДПИСКИ,POST /v1/analytics/product-queries,"Кабинет: what-to-sell/all-queries, кнопка Скачать",—,с месяц назад,page + page_size,sku + запрос,UTC,no,yes,"HTTP 200, но items=[] и total=0 на всех SKU за месяц. Спецификация: полная аналитика с Premium/Premium Plus/Pro"
search_positions,позиция товара по запросу,Sellmonitor,marketplace_analytics_get_product_search_query_positions,Кабинет: Видимость в поиске (поштучно),1/сутки,14 дней,limit,dwhProductId + запрос,—,no,no,"dwhProductId == ozon_sku, проверено на 5 SKU"
competitors,"конкуренты, их цены и продажи",Sellmonitor,marketplace_analytics_search_products / get_product_details,—,1/сутки,—,offset + limit,dwhProductId,—,no,yes,Кабинетный отчёт Конкуренты закрыт подпиской
content,"фото, видео, характеристики, отзывы",Sellmonitor,get_product_details / get_product_reviews,Публичная карточка,1/сутки,—,—,dwhProductId,—,no,yes,"content{images,videos,characteristics,descriptionWords}"
campaign_stats,"кампании, ставки, подневная статистика, фразы",Performance API,api-performance.ozon.ru,—,1/сутки,62 дня на выгрузку,зависит от метода,campaign_id + sku + дата,не проверена,no,NO — НЕТ CREDENTIALS,Заблокировано: нет client_id/client_secret и нет доступа к performance.ozon.ru
