id,obnaruzheno_msk,tema,istochnik_a,znachenie_a,istochnik_b,znachenie_b,status,kommentarij
D013,2026-08-31T17:20:00+03:00,Стратегии кампаний,Гипотеза владельца: «Целевой расход» выходит за потолок,требовала проверки,Performance API GET /campaign/{id}/v2/products,"6 SKU на targetCir, 12 SKU на фиксированной ставке",open,"Кампания 33703975 «Сыворотка Акне» RUNNING со стратегией «Целевой расход», targetCir=30%. Маржа этого SKU при комиссии 52% = 25,0%. Целевой ДРР задан ВЫШЕ потолка маржи. Гипотеза подтверждается, но нужен расчёт факта"
D014,2026-08-31T17:20:00+03:00,Фактическая ставка против рекомендации,"Исторический xlsx: крем руки, ставить 1 руб, макс широк 2 руб",1 руб,"Performance API, фактический bid",12 руб,open,"Ставка в 6 раз выше максимально допустимой по широкой атрибуции, при марже SKU 4,9%. Требует проверки расчётом до любых действий. Ничего не меняли"
D015,2026-08-31T17:20:00+03:00,Формат ответа статистики,Ожидался JSON,application/json в заголовке запроса,Performance API statistics/daily и /expense,CSV с разделителем «;» и запятой как десятичным разделителем,open,"Заголовок Accept игнорируется. При ingestion парсить как CSV в кодировке UTF-8, число вида «38,30» приводить к float. Не смешивать с JSON-ответами campaign и products"
D016,2026-08-31T17:20:00+03:00,Дрейф схемы Performance API,OpenAPI extcampaignCampaignInList,18 объявленных полей,Фактический ответ GET /api/client/campaign,25 полей,open,"В ответе есть, но не объявлены: expenseStrategy, PaymentType, ProductAdvPlacements, autoIncrease, budgetType, startWeekDay, endWeekDay. Объявлено paymentType, приходит PaymentType — разный регистр. Валидацию по схеме строить нельзя, только по факту"
D017,2026-08-31T18:40:00+03:00,Неучтённая статья маркетинга,Наша модель расходов на рекламу,только CPC и SEARCH_PROMO,"Seller API accrual/by-day, тип 116 FirstCustomerReview","-4 471,30 руб за 12 проверенных дней",open,"Услуга «Сбор первых отзывов». В Performance API её НЕТ вообще, видна только в финансах. Уровень SKU (item_fees). Затронуты 3735674506 x2, 3892518031, 3892223191. Для сравнения CPC за те же 12 дней -14 299,85 руб, то есть это +31 % сверху. Обязана войти в TOTAL_MARKETING_COST"
D018,2026-08-31T18:40:00+03:00,Ограничение лимита,Наш первый запрос /v3/posting/fbo/list с limit=200,HTTP 400,Спецификация и ответ API,"limit должен быть в диапазоне (0, 100]",closed,"Технический предел, учтён в backfill_plan_v1.csv: chunk по 100 с курсорной пагинацией"
D019,2026-08-31T19:30:00+03:00,Фактическая ставка комиссии,Вводная владельца,52% с 28.08.2026,"Seller API accrual/by-day, поле commission_ratio на уровне операции",за 01.06–31.08: 226 операций по 0.41 и ТОЛЬКО 1 по 0.52 (29.08),open,"Переход на 52% в данных периода практически не проявился. Начисления 28–31 августа в основном относятся к более ранним заказам и облагаются по 0.41. Разбиение периода по дате начисления НЕ отражает смену комиссии — корректнее делить по фактическому commission_ratio. Все выводы вида «при 52% портфель в минусе» остаются прогнозом, а не фактом периода"
D020,2026-08-31T19:30:00+03:00,Размер СПП,Вводная владельца,"по портфелю 44,6%; наборы 24–33%","Seller API accrual/by-day, (seller_price - sale_price)/seller_price по 270 транзакциям","взвешенная по портфелю 58,9%; наборы 51–63%",open,"Расхождение существенное. Формула владельца при этом подтверждена ТОЧНО: seller_price = sale_price + bonus + coinvestment сходится на 270 из 270 транзакций, расхождений 0. Вероятно, вводная считалась на другом периоде или по другому определению полки"
D021,2026-08-31T19:30:00+03:00,Продажи по цене около нуля,Ожидание нормальной полки,полка сопоставима с базой,price_history_from_transactions.csv,"28.07 крем вишня: база 1101 руб, полка 1,00 руб, баллы 665,04 (СПП 99,9%); 08.08 и 10.08 крем ваниль полка 26,96 и 29,04 руб",open,Похоже на участие в акции «Товары за 1 рубль» или аналогичной. Комиссия при этом считается от базы продавца. Требует отдельной проверки: сколько таких сделок и на какую сумму
D022,2026-08-31T19:30:00+03:00,Нераспределённый рекламный расход,CPC портфеля,"82 604,23 руб","CPC, доказуемо отнесённый на SKU","58 601,16 руб",closed,"Разница 24 003,07 руб приходится на мультитоварные кампании 33678220 (3 SKU) и 33678331 (2 SKU). Искусственно разносить не стал. Следствие: SKU-уровневый ДРР по товарам этих кампаний ЗАНИЖЕН, портфельный ДРР при этом верен | ЗАКРЫТО 2026-09-01: найден асинхронный отчёт Performance API, дающий расход по SKU. ATTRIBUTION_LEVEL=SKU_ACTUAL, распределено 82 088,43 из 82 604,23 руб (99,38%). Пропорциональное распределение не применялось"
D023,2026-08-31T19:30:00+03:00,Историческая реализация,Ожидался отчёт за август,/v2/finance/realization month=8 year=2026,Ozon API,"HTTP 404, Report was not found",closed,Месяц не закрыт на дату выгрузки 31.08. Не дефект. Июнь и июль получены нормально
D024,2026-09-01T10:00:00+03:00,Нарушение изоляции доменов,Правило Marketplace Isolation,домену Ozon запрещено читать из wb_raw,Фактическая реализация Stage 1.5,связка offer_id -> internal_sku строится через wb_raw.REF_SKU_MASTER,DESIGN_RESOLVED_IMPLEMENTATION_PENDING,"ARCHITECTURE QA FAIL. Таблица смешанная: общие атрибуты товара, WB-специфичные поля и операционные флаги WB; колонка marketplace = WB на всех 25 строках. Переносить целиком нельзя. Предложено разделить на evetis_ref.REF_PRODUCT_MASTER и evetis_ref.REF_SKU_CHANNEL_MAP, WB-поля оставить в wb_raw. Идентификатор Ozon в маппинге писать явной строкой, а не выводить из nm_id: равенство offer_id = nm_id это операционное соглашение EVETIS, а не факт площадки | 2026-09-01: спроектировано устранение. evetis_ref.REF_PRODUCT_MASTER + evetis_ref.REF_SKU_CHANNEL_MAP, классификация 22 полей в PRODUCT_REFERENCE_FIELD_CLASSIFICATION.csv, доказательство в proposed_ozon_channel_map.csv: 20/20 резолвятся без обращения к wb_raw. Architecture QA 12/12 PASS. Остаётся открытым до фактической реализации слоя"
D025,2026-09-01T12:00:00+03:00,Ошибка в опубликованных агрегатах Stage 2,reports/HISTORICAL_BACKFILL_V1.md,"прибыль после маркетинга 14 637,95 руб, ДРР весь маркетинг 26,5%",Пересчёт на актуальном portfolio_daily.csv,"прибыль 9 811,10 руб, ДРР 27,8%",open,"МОЯ ОШИБКА. Агрегаты для отчёта Stage 2 были посчитаны ДО исправления join в юнит-экономике, а таблицы пересобраны ПОСЛЕ. Опубликованы устаревшие цифры. Дельта: Сбор первых отзывов +4 173,62 (было 5 688,86, стало 9 862,48), логистика +608,23, прочие +45,00, прибыль после маркетинга -4 826,85. Разрез по SKU в отчёте верен, он считался после исправления. Отчёт помечен SUPERSEDED_BY_STAGE_2_1"
D026,2026-09-01T12:00:00+03:00,Семантика СПП,Отчёт Stage 2,"58,9% названы доказанной СПП",Спецификация Ozon Seller API,"термин СПП в спецификации отсутствует, 0 вхождений",open,"SPP_SEMANTICS = NOT_PROVEN. Официально документированы только bonus как «Баллы за скидки» и seller_price как «Цена, которую указал продавец». Для coinvestment описания в спецификации нет вообще. Корректная нейтральная метрика: observed_buyer_discount_pct = (seller_base - buyer_paid)/seller_base = 58,9%. Отдельно: СПП это термин Wildberries, его перенос в домен Ozon сам по себе нарушает изоляцию словаря"
D027,2026-09-01T12:00:00+03:00,Определяющее событие для ставки комиссии,Гипотеза: дата начисления,должна определять тариф,"commission_effective_date_analysis.csv, 262 сопоставленных операции",14 контрпримеров,closed,"Дата начисления ОТВЕРГНУТА как определяющее событие. Дата создания заказа согласуется со всеми 262 операциями без единого контрпримера, но различающее наблюдение на стороне 52% ровно одно. Дата создания заказа и дата отгрузки в FBO различаются на медианные 10 секунд и всегда попадают в один календарный день MSK, поэтому эти две гипотезы данными не разделяются. Фактической даты доставки в API нет. Итог: COMMISSION_EFFECTIVE_DATE = NOT_PROVEN в части положительного определения"
D028,2026-09-01T12:00:00+03:00,SKU-разрез рекламного расхода,Ожидание: Performance API даст расход по SKU за период,нужен для распределения 24 003 руб,Проверка трёх endpoint,campaign/product отдаёт кампанийный уровень; products/sku только сегодня-вчера; асинхронный отчёт завис в NOT_STARTED,closed,"ATTRIBUTION_LEVEL = CAMPAIGN_ONLY для кампаний 33678220 и 33678331. Пропорциональное распределение по выручке, заказам или показам НЕ применялось | ЗАКРЫТО: нужный источник это асинхронный отчёт POST /api/client/statistics, а не campaign/product и не products/sku. Ответ приходит ZIP с CSV на кампанию, SKU-разрез есть"
D029,2026-09-01T14:00:00+03:00,Изменение выводов после SKU-атрибуции,"Stage 2, распределение по кампаниям с одним SKU",5 убыточных SKU из 18,Фактическая атрибуция SKU_ACTUAL,9 убыточных SKU из 18,open,"После получения реального SKU-разреза расхода картина изменилась существенно. Пример: EVT-SET-ACNE-POWDER-SERUM-CREAM был +522 руб, стал -3 549 руб, потому что фактически получил 6 687 руб рекламы. Прибыль портфеля после маркетинга 7 485,65 руб против 9 811,10 в предыдущем пересчёте: выросла отнесённая логистика по дням без продаж"
D030,2026-09-01T14:00:00+03:00,Потерянный день на границе чанков,"Асинхронный отчёт, чанк to=2026-07-31T00:00:00Z",расход 31 июля не попал в отчёт,Начисления тип 41 за 2026-07-31,"1 832,24 руб",closed,Граница чанка задана как начало дня и срезала последние сутки. Исправлено догрузкой окна 25.07-02.08. Правило для production: перекрывать чанки минимум на 1 день
D031,2026-09-01T14:00:00+03:00,Расход архивных кампаний,Периметр из 15 текущих CPC-кампаний,ожидался весь расход,Performance API statistics/expense за период,20 898 руб потратили 4 АРХИВНЫЕ кампании,open,"27443733 «Набор кремы» 10 164 руб, 27307598 4 373, 27307535 3 207, 27251978 3 154. Кампании работали в июне-июле и затем заархивированы. Реестр кампаний обязан покрывать архивные, иначе исторический расход теряется"
B-01,2026-09-01T15:10:00+03:00,Блокировка сетевого доступа к data plane BigQuery,Ожидание: локальная загрузка через bq load или REST,загрузка 3 977 строк исторических фактов,Факт: bigquery.googleapis.com отдаёт HTML-страницу HTTP 403,bq CLI падает на разборе non-JSON ошибки; curl с user-token и с ADC+quota project даёт тот же 403,open,"Это блокировка egress окружения, а НЕ проблема прав IAM: gcloud secrets работает, MCP-инструмент BigQuery работает. DDL и небольшие INSERT проходят через MCP. Массовая загрузка через MCP потребовала бы провести 1,2 МБ SQL-литералов через контекст, что не является production-путём. Правильное решение: грузить из Cloud Run под сервисным аккаунтом, как уже сделано для WB, либо через GCS + LOAD DATA. Подготовленные файлы в audit_2026-08-30/load/: 8 JSONL и 8 SQL, 3 977 строк. Затронуты гейты P06-P11"
